||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.57E-003	2.44E-002	3.77E-001
2.02E-004	6.27E-003	1.94E-001
2.55E-005	1.58E-003	9.78E-002
3.19E-006	3.95E-004	4.90E-002
3.99E-007	9.88E-005	2.45E-002
4.98E-008	2.47E-005	1.22E-002
6.23E-009	6.18E-006	6.12E-003
7.79E-010	1.54E-006	3.06E-003
9.93E-011	3.86E-007	1.53E-003
8.07E-011	9.65E-008	7.66E-004
3.18E-010	2.42E-008	3.83E-004
1.27E-009	7.24E-009	1.91E-004
2.97E-009	9.49E-009	9.57E-005
2.04E-008	6.43E-008	4.79E-005
8.12E-008	2.56E-007	2.40E-005
3.25E-007	1.02E-006	1.36E-005
1.30E-006	4.10E-006	2.62E-005
5.21E-006	1.64E-005	1.02E-004
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
